,NAME,PUBLIC STREAM,GENRES,CATEGORY
204,Exclusively Little Mix,https://streaming.exclusive.radio/er/littlemix/icecast.audio,pop|british|female vocalists,Pop
205,Exclusively Little Richard,https://streaming.exclusive.radio/er/littlerichard/icecast.audio,rock and roll|rock n roll|rockabilly,
206,Exclusively Lorde,https://streaming.exclusive.radio/er/lorde/icecast.audio,pop|indie pop|electronic,Electronic|Pop
207,Exclusively Loretta Lynn,https://streaming.exclusive.radio/er/lorettalynn/icecast.audio,country|female vocalists|classic country,Country
208,Exclusively Louis Armstrong,https://streaming.exclusive.radio/er/louisarmstrong/icecast.audio,jazz|blues|swing,Blues|Jazz
209,Exclusively Luke Bryan,https://streaming.exclusive.radio/er/lukebryan/icecast.audio,country|new country|modern country,Country
210,Exclusively Madonna,https://streaming.exclusive.radio/er/madonna/icecast.audio,pop|dance|female vocalists,Electronic|Pop
211,Exclusively Mariah Carey,https://streaming.exclusive.radio/er/mariahcarey/icecast.audio,pop|rnb|female vocalists,Pop|Soul/R&B
212,Exclusively Maroon 5,https://streaming.exclusive.radio/er/maroon5/icecast.audio,pop rock|rock|pop,Pop|Rock
213,Exclusively Marvin Gaye,https://streaming.exclusive.radio/er/marvingaye/icecast.audio,soul|funk|motown,Soul/R&B
214,Exclusively Mary J. Blige,https://streaming.exclusive.radio/er/maryjblige/icecast.audio,rnb|soul|female vocalists,Soul/R&B
215,Exclusively Matt Monro,https://streaming.exclusive.radio/er/mattmonro/icecast.audio,oldies|swing|60s,50s & 60s|Jazz
216,Exclusively Meat Loaf,https://streaming.exclusive.radio/er/meatloaf/icecast.audio,rock|classic rock|hard rock,Rock
217,Exclusively Merle Haggard,https://streaming.exclusive.radio/er/merlehaggard/icecast.audio,country|classic country|outlaw country,Country
218,Exclusively Metallica,https://streaming.exclusive.radio/er/metallica/icecast.audio,thrash metal|heavy metal|metal,Metal
220,Exclusively Michael Buble,https://streaming.exclusive.radio/er/michaelbuble/icecast.audio,jazz|swing|pop,Jazz|Pop
221,Exclusively Michael Jackson,https://streaming.exclusive.radio/er/michaeljackson/icecast.audio,pop|80s|dance,80s|Electronic|Pop
222,Exclusively Mike And The Mechanics,https://streaming.exclusive.radio/er/mikeandthemechanics/icecast.audio,80s|rock|pop,80s|Pop|Rock
223,Exclusively Miles Davis,https://streaming.exclusive.radio/er/milesdavis/icecast.audio,jazz|trumpet|bebop,Jazz
224,Exclusively Miley Cyrus,https://streaming.exclusive.radio/er/mileycyrus/icecast.audio,pop|female vocalists|dance,Electronic|Pop
225,Exclusively Moby,https://streaming.exclusive.radio/er/moby/icecast.audio,electronic|ambient|chillout,Electronic
226,Exclusively Muddy Waters,https://streaming.exclusive.radio/er/muddywaters/icecast.audio,blues|chicago blues|classic blues,Blues
